Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Banyo_Sayısı
150.0,170.0,4.0,7.Kat,0,5.0,Kombi Doğalgaz,14.978661680269909,adana,13.0,Mülk Sahibi Oturuyor,1,1,1.0
110.0,135.0,4.0,2.Kat,0,0.0,Kombi Doğalgaz,14.285514812209817,adana,4.0,Boş,0,1,2.0
125.0,159.99999999999997,5.0,1.Kat,0,1.0,Kombi Doğalgaz,14.77102238760702,adana,9.0,Kiracı Oturuyor,0,1,2.0
136.0,176.0,3.0,22.Kat,0,4.0,Klimalı,14.962913328262085,adana,2.0,Mülk Sahibi Oturuyor,1,0,2.0
100.0,125.00000000000004,4.0,2.Kat,0,1.0,Kombi Doğalgaz,14.151983508870948,adana,9.0,Kiracı Oturuyor,1,0,1.0
124.0,145.0,4.0,2.Kat,0,3.0,Diğer,15.667894805871496,adana,3.0,Mülk Sahibi Oturuyor,0,1,1.0
135.0,159.99999999999997,4.0,6.Kat,0,5.0,Kombi Doğalgaz,14.897316067298997,adana,8.0,Mülk Sahibi Oturuyor,0,0,2.0
90.0,95.0,3.0,Bahçe Katı,0,2.0,Merkezi Doğalgaz,14.285514812209817,adana,2.0,Kiracı Oturuyor,1,0,1.0
130.0,195.0,4.0,3.Kat,0,5.0,Klimalı,14.954945161152589,adana,9.0,Kiracı Oturuyor,1,0,1.0
145.0,165.0,4.0,10.Kat,0,4.0,Kombi Doğalgaz,14.690979711984754,adana,11.0,Mülk Sahibi Oturuyor,1,0,2.0
105.0,115.0,4.0,12.Kat,0,1.0,Kombi Doğalgaz,14.54547219357453,adana,12.0,Boş,1,0,2.0
220.0,240.0,5.0,1.Kat,0,2.0,Kombi Doğalgaz,15.47373882504398,adana,15.0,Boş,1,1,2.0
145.0,170.0,4.0,7.Kat,0,5.0,Diğer,14.375126917328108,adana,8.0,Boş,1,1,1.0
175.0,195.0,5.0,13.Kat,0,1.0,Kombi Doğalgaz,15.18922639004183,adana,15.0,Mülk Sahibi Oturuyor,1,1,2.0
105.0,125.00000000000004,4.0,30.Kat,0,3.0,Klimalı,14.034646891093471,adana,2.0,Boş,1,0,1.0
220.0,240.0,5.0,1.Kat,0,2.0,Merkezi (Pay Ölçer),15.47373882504398,adana,15.0,Boş,1,1,2.0
150.0,170.0,4.0,1.Kat,0,3.0,Kombi Doğalgaz,14.731401609977071,adana,10.0,Boş,1,1,1.0
75.0,90.0,3.0,5.Kat,0,0.0,Kombi Doğalgaz,14.285514812209817,adana,11.0,Boş,1,1,2.0
110.0,125.00000000000004,4.0,8.Kat,0,1.0,Kombi Doğalgaz,14.930652476452392,adana,11.0,Boş,0,0,1.0
110.0,130.0,4.0,5.Kat,0,0.0,Klimalı,14.467836264837162,adana,5.0,Boş,0,0,2.0
100.0,202.0,4.0,6.Kat,0,0.0,Kombi Doğalgaz,15.26242977619469,adana,2.0,Boş,0,0,2.0
75.0,90.0,2.0,7.Kat,0,0.0,Kombi Doğalgaz,13.906265834474333,adana,11.0,Boş,1,1,1.0
85.0,100.0,3.0,11.Kat,0,1.0,Kombi Doğalgaz,14.372265686684402,adana,12.0,Mülk Sahibi Oturuyor,1,0,2.0
75.0,79.99999999999999,3.0,2.Kat,0,0.0,Diğer,14.316286451937186,adana,14.0,Boş,0,1,2.0
135.0,165.0,4.0,5.Kat,0,5.0,Klimalı,14.506155109559108,adana,7.0,Mülk Sahibi Oturuyor,1,0,1.0
115.0,120.0,4.0,40+.Kat,0,3.0,Sobalı,14.897316067298997,adana,2.0,Mülk Sahibi Oturuyor,1,0,2.0
140.0,240.0,3.0,Kot 3 (-3).Kat,0,5.0,Klimalı,15.137266664613223,adana,2.0,Kiracı Oturuyor,1,1,1.0
90.0,120.0,3.0,1.Kat,0,0.0,Diğer,14.4306967375949,adana,10.0,Boş,1,1,1.0
85.0,110.0,3.5,3.Kat,0,2.0,Merkezi Doğalgaz,14.096923772119156,adana,5.999999999999999,Boş,1,0,1.0
140.0,159.99999999999997,4.0,3.Kat,0,5.0,Klimalı,14.325336281997105,adana,7.0,Mülk Sahibi Oturuyor,1,0,1.0
155.0,175.0,4.0,1.Kat,0,4.0,Kombi Doğalgaz,14.400516137007424,adana,8.0,Boş,1,0,1.0
82.0,105.0,3.0,2.Kat,0,0.0,Kombi Doğalgaz,14.4306967375949,adana,13.0,Kiracı Oturuyor,1,0,2.0
150.0,170.0,4.0,5.Kat,0,5.0,Kombi Doğalgaz,14.770637698386922,adana,12.0,Mülk Sahibi Oturuyor,1,0,1.0
85.0,110.0,3.0,5.Kat,0,0.0,Merkezi Doğalgaz,14.626441218624947,adana,9.0,Boş,1,0,1.0
100.0,120.0,4.0,Yüksek Giriş,0,0.0,Kombi Doğalgaz,14.603968372873895,adana,10.0,Boş,1,0,1.0
130.0,150.0,4.0,2.Kat,0,3.0,Kombi Doğalgaz,14.805052123325169,adana,10.0,Kiracı Oturuyor,1,0,1.0
125.0,155.0,4.0,2.Kat,0,2.0,Kombi Doğalgaz,15.137266664613223,adana,10.0,Boş,1,0,2.0
155.0,185.0,4.0,5.Kat,0,5.0,Klimalı,14.340239678615056,adana,9.0,Boş,0,1,1.0
148.0,180.0,5.0,1.Kat,0,0.0,Kombi Doğalgaz,15.226497775576943,adana,8.0,Mülk Sahibi Oturuyor,1,0,2.0
95.0,105.0,3.0,26.Kat,0,5.0,Klimalı,15.05388507886257,adana,3.0,Boş,1,0,1.0
115.0,130.0,4.0,3.Kat,0,0.0,Kombi Doğalgaz,14.808762701344858,adana,9.0,Boş,1,1,2.0
266.0,300.0,4.0,Kot 2 (-2).Kat,0,4.0,Klimalı,15.373655386537116,adana,1.0,Mülk Sahibi Oturuyor,1,1,1.0
150.0,165.0,4.0,3.Kat,0,4.0,Kombi Doğalgaz,14.64406281221155,adana,10.0,Boş,1,1,1.0
75.0,90.0,3.0,2.Kat,0,1.0,Diğer,14.751604309291396,adana,10.0,Kiracı Oturuyor,0,0,1.0
95.0,120.0,3.0,2.Kat,0,1.0,Klimalı,14.896977026895357,adana,9.0,Boş,1,0,1.0
130.0,150.0,4.0,2.Kat,0,5.0,Klimalı,14.669500689354027,adana,5.0,Mülk Sahibi Oturuyor,1,0,1.0
90.0,100.0,3.0,9.Kat,0,1.0,Diğer,14.488455541410652,adana,14.0,Boş,0,0,1.0
170.0,230.0,5.0,4.Kat,0,2.0,Kombi Doğalgaz,15.72505321099685,adana,15.0,Boş,1,0,2.0
220.0,250.0,5.0,14.Kat,1,5.0,Klimalı,15.949677117676544,adana,15.0,Boş,1,0,3.0
